# OSU MPI Allgather Latency Test v5.4.1
# Size       Avg Latency(us)
1.02711
0.97823
0.99409
0.92733
0.93865
0.93901
0.93722
0.97954
1.07694
1.15776
1.27912
1.56069
2.08533
2 process in 1 machine base
-------------------------------
# OSU MPI Allgather Latency Test v5.4.1
# Size       Avg Latency(us)
1                       1.01
2                       0.96
4                       0.97
8                       0.93
16                      0.96
32                      0.92
64                      0.90
128                     0.98
256                     1.06
512                     1.17
1024                    1.28
2048                    1.51
4096                    2.10
8192                    3.41
16384                   6.17
32768                  10.89
65536                  28.47
131072                 58.10
262144                105.60
524288                187.60
1048576               350.24

2 process in 1 machine encrypted
-------------------------------
# OSU MPI Allgather Latency Test v5.4.1
# Size       Avg Latency(us)
1                       2.56
2                       2.55
4                       2.42
8                       2.43
16                      2.42
32                      2.44
64                      2.80
128                     2.73
256                     3.45
512                     5.16
1024                    8.12
2048                   13.85
4096                   24.18
8192                   41.26
16384                  75.19
32768                 143.93
65536                 277.04
131072                496.19
262144                926.48
524288               1857.04
1048576              3819.80


2 process in 2 machine base
-------------------------------
# OSU MPI Allgather Latency Test v5.4.1
# Size       Avg Latency(us)
1                      58.75
2                      60.82
4                      63.12
8                      65.12
16                     72.38
32                     72.49
64                     72.46
128                    75.70
256                    76.52
512                    80.25
1024                  103.41
2048                   82.95
4096                  148.65
8192                  283.12
16384                 316.18
32768                 417.54
65536                 806.25
131072               1655.55
262144               2823.65
524288               5091.16
1048576              9715.39



2 process in 2 machine encrypted
--------------------------------
# OSU MPI Allgather Latency Test v5.4.1
# Size       Avg Latency(us)
1                      60.37
2                      67.68
4                      70.50
8                      70.14
16                     72.81
32                     71.97
64                     73.70
128                    77.58
256                    79.41
512                    81.73
1024                  104.15
2048                   90.52
4096                  160.87
8192                  285.95
16384                 351.48
32768                 519.39
65536                 959.21
131072               1977.19
262144               3358.22
524288               6317.60
1048576             12398.64


all to all
-----------
2 process in 2 machine base
----------------------------

# OSU MPI All-to-All Personalized Exchange Latency Test v5.4.1
# Size       Avg Latency(us)
1                      68.36
2                      59.87
4                      57.62
8                      57.54
16                     58.51
32                     58.33
64                     57.66
128                    70.89
256                    68.40
512                    80.48
1024                  103.30
2048                   98.53
4096                  150.00
8192                  284.46
16384                 306.48
32768                 416.05
65536                 764.04
131072               1629.06
262144               2859.67
524288               5135.58
1048576              9804.27


2 process in 2 machines encrypted
--------------------------------
# OSU MPI All-to-All Personalized Exchange Latency Test v5.4.1
# Size       Avg Latency(us)
1                      70.89
2                      60.89
4                      58.95
8                      59.28
16                     65.35
32                     65.07
64                     63.22
128                    76.78
256                    79.47
512                    82.50
1024                   95.50
2048                  102.55
4096                  156.48
8192                  303.29
16384                 350.38
32768                 562.02
65536                1012.76
131072               2007.23
262144               3635.29
524288               6874.41
1048576             13504.29


